x,country,date,historyValue1,historyValue2,historyValue3,historyValue4
0,USD,2018/04/11,28.835,29.377,29.135,29.235
1,USD,2018/04/10,28.835,29.377,29.135,29.235
2,USD,2018/04/09,28.845,29.387,29.145,29.245
3,USD,2018/04/03,28.79,29.332,29.09,29.19
4,USD,2018/04/02,28.785,29.327,29.085,29.185
5,USD,2018/03/31,28.755,29.297,29.055,29.155
6,USD,2018/03/30,28.755,29.297,29.055,29.155
7,USD,2018/03/29,28.8,29.342,29.1,29.2
8,USD,2018/03/28,28.805,29.347,29.105,29.205
9,USD,2018/03/27,28.785,29.327,29.085,29.185
10,USD,2018/03/26,28.795,29.337,29.095,29.195
11,USD,2018/03/23,28.81,29.352,29.11,29.21
12,USD,2018/03/22,28.795,29.337,29.095,29.195
13,USD,2018/03/21,28.825,29.367,29.125,29.225
14,USD,2018/03/20,28.81,29.352,29.11,29.21
15,USD,2018/03/19,28.84,29.382,29.14,29.24
16,USD,2018/03/16,28.81,29.352,29.11,29.21
17,USD,2018/03/15,28.835,29.377,29.135,29.235
18,USD,2018/03/14,28.9,29.442,29.2,29.3
19,USD,2018/03/13,28.9,29.442,29.2,29.3
20,USD,2018/03/12,28.925,29.467,29.225,29.325
21,USD,2018/03/09,28.94,29.482,29.24,29.34
22,USD,2018/03/08,28.91,29.452,29.21,29.31
23,USD,2018/03/07,28.9,29.442,29.2,29.3
24,USD,2018/03/06,28.925,29.467,29.225,29.325
25,USD,2018/03/05,28.93,29.472,29.23,29.33
26,USD,2018/03/02,28.925,29.467,29.225,29.325
27,USD,2018/03/01,28.95,29.492,29.25,29.35
28,USD,2018/02/27,28.845,29.387,29.145,29.245
29,USD,2018/02/26,28.875,29.417,29.175,29.275
30,USD,2018/02/23,28.945,29.487,29.245,29.345
31,USD,2018/02/22,28.92,29.462,29.22,29.32
32,USD,2018/02/21,28.84,29.382,29.14,29.24
33,USD,2018/02/14,28.965,29.507,29.265,29.365
34,USD,2018/02/13,28.99,29.532,29.29,29.39
35,USD,2018/02/12,29.035,29.577,29.335,29.435
36,USD,2018/02/09,29.025,29.567,29.325,29.425
37,USD,2018/02/08,29.005,29.547,29.305,29.405
38,USD,2018/02/07,28.9,29.442,29.2,29.3
39,USD,2018/02/06,29,29.542,29.3,29.4
40,USD,2018/02/05,28.945,29.487,29.245,29.345
41,USD,2018/02/02,28.865,29.407,29.165,29.265
42,USD,2018/02/01,28.845,29.387,29.145,29.245
43,USD,2018/01/31,28.78,29.322,29.08,29.18
44,USD,2018/01/30,28.87,29.412,29.17,29.27
45,USD,2018/01/29,28.795,29.337,29.095,29.195
46,USD,2018/01/26,28.735,29.277,29.035,29.135
47,USD,2018/01/25,28.695,29.237,28.995,29.095
48,USD,2018/01/24,28.86,29.402,29.16,29.26
49,USD,2018/01/23,28.91,29.452,29.21,29.31
50,USD,2018/01/22,28.99,29.532,29.29,29.39
51,USD,2018/01/19,29.06,29.602,29.36,29.46
52,USD,2018/01/18,29.2,29.742,29.5,29.6
53,USD,2018/01/17,29.2,29.742,29.5,29.6
54,USD,2018/01/16,29.195,29.737,29.495,29.595
55,USD,2018/01/15,29.185,29.727,29.485,29.585
56,USD,2018/01/12,29.245,29.787,29.545,29.645
57,USD,2018/01/11,29.25,29.792,29.55,29.65
58,USD,2018/01/10,29.245,29.787,29.545,29.645
59,USD,2018/01/09,29.185,29.727,29.485,29.585
60,USD,2018/01/08,29.15,29.692,29.45,29.55
61,USD,2018/01/05,29.15,29.692,29.45,29.55
62,USD,2018/01/04,29.23,29.772,29.53,29.63
63,USD,2018/01/03,29.225,29.767,29.525,29.625
64,USD,2018/01/02,29.265,29.807,29.565,29.665
0,HKD,2018/04/11,3.572,3.762,3.687,3.747
1,HKD,2018/04/10,3.573,3.763,3.688,3.748
2,HKD,2018/04/09,3.574,3.764,3.689,3.749
3,HKD,2018/04/03,3.567,3.757,3.682,3.742
4,HKD,2018/04/02,3.567,3.757,3.682,3.742
5,HKD,2018/03/31,3.563,3.753,3.678,3.738
6,HKD,2018/03/30,3.563,3.753,3.678,3.738
7,HKD,2018/03/29,3.569,3.759,3.684,3.744
