x,country,date,historyValue1,historyValue2,historyValue3,historyValue4
0,USD,2017/11/01,29.82,30.362,30.12,30.22
1,USD,2017/10/31,29.82,30.362,30.12,30.22
2,USD,2017/10/30,29.85,30.392,30.15,30.25
3,USD,2017/10/27,29.92,30.462,30.22,30.32
4,USD,2017/10/26,29.875,30.417,30.175,30.275
5,USD,2017/10/25,29.91,30.452,30.21,30.31
6,USD,2017/10/24,29.915,30.457,30.215,30.315
7,USD,2017/10/23,29.905,30.447,30.205,30.305
8,USD,2017/10/20,29.885,30.427,30.185,30.285
9,USD,2017/10/19,29.875,30.417,30.175,30.275
10,USD,2017/10/18,29.85,30.392,30.15,30.25
11,USD,2017/10/17,29.84,30.382,30.14,30.24
12,USD,2017/10/16,29.805,30.347,30.105,30.205
13,USD,2017/10/13,29.82,30.362,30.12,30.22
14,USD,2017/10/12,29.855,30.397,30.155,30.255
15,USD,2017/10/11,29.865,30.407,30.165,30.265
16,USD,2017/10/06,30.02,30.562,30.32,30.42
17,USD,2017/10/05,29.97,30.512,30.27,30.37
18,USD,2017/10/03,30.085,30.627,30.385,30.485
19,USD,2017/10/02,30.06,30.602,30.36,30.46
20,USD,2017/09/30,29.91,30.452,30.21,30.31
21,USD,2017/09/29,29.965,30.507,30.265,30.365
22,USD,2017/09/28,30.025,30.567,30.325,30.425
23,USD,2017/09/27,29.935,30.477,30.235,30.335
24,USD,2017/09/26,29.855,30.397,30.155,30.255
25,USD,2017/09/25,29.815,30.357,30.115,30.215
26,USD,2017/09/22,29.82,30.362,30.12,30.22
27,USD,2017/09/21,29.85,30.392,30.15,30.25
28,USD,2017/09/20,29.765,30.307,30.065,30.165
29,USD,2017/09/19,29.775,30.317,30.075,30.175
30,USD,2017/09/18,29.75,30.292,30.05,30.15
31,USD,2017/09/15,29.71,30.252,30.01,30.11
32,USD,2017/09/14,29.75,30.292,30.05,30.15
33,USD,2017/09/13,29.7,30.242,30,30.1
34,USD,2017/09/12,29.675,30.217,29.975,30.075
